#CentralWav (um) 	 MinWav 	 MaxWav 	 u1 	 u2
2.8350758553 	 2.8345692158 	 2.8355824948 	 0.0591135500 	 0.2158878700
2.8340625763 	 2.8335559368 	 2.8345692158 	 0.0591696100 	 0.2159391300
2.8330492973 	 2.8325425386 	 2.8335560560 	 0.0592901900 	 0.2158813600
2.8320357800 	 2.8315292597 	 2.8325423003 	 0.0594106700 	 0.2158236500
2.8310227394 	 2.8305160999 	 2.8315293789 	 0.0595309800 	 0.2157660100
2.8300094604 	 2.8295030593 	 2.8305158614 	 0.0596512000 	 0.2157084300
2.8289966583 	 2.8284900189 	 2.8295032978 	 0.0597712400 	 0.2156509200
2.8279833794 	 2.8274767399 	 2.8284900189 	 0.0598912200 	 0.2155934500
2.8269701004 	 2.8264636994 	 2.8274765015 	 0.0600110800 	 0.2155360300
2.8259572983 	 2.8254506588 	 2.8264639378 	 0.0601307600 	 0.2154787000
2.8249440193 	 2.8244377374 	 2.8254503012 	 0.0602376800 	 0.2154637900
2.8239314556 	 2.8234248162 	 2.8244380951 	 0.0603215600 	 0.2155251500
2.8229181767 	 2.8224118948 	 2.8234244586 	 0.0603952300 	 0.2156203400
2.8219056129 	 2.8213989735 	 2.8224122523 	 0.0604687400 	 0.2157153200
2.8208923340 	 2.8203861714 	 2.8213984967 	 0.0605422000 	 0.2158102300
2.8198800087 	 2.8193733692 	 2.8203866482 	 0.0606154900 	 0.2159049200
2.8188667297 	 2.8183605671 	 2.8193728924 	 0.0606887400 	 0.2159995600
2.8178544044 	 2.8173477650 	 2.8183610438 	 0.0607618200 	 0.2160939800
2.8168411255 	 2.8163350821 	 2.8173471690 	 0.0608348700 	 0.2161883600
2.8158290386 	 2.8153225183 	 2.8163355589 	 0.0609077300 	 0.2162824900
2.8148159981 	 2.8143098355 	 2.8153221608 	 0.0609646300 	 0.2163339400
2.8138036728 	 2.8132972718 	 2.8143100739 	 0.0609981000 	 0.2163228300
2.8127908707 	 2.8122845888 	 2.8132971526 	 0.0610241400 	 0.2162918800
2.8117783070 	 2.8112722635 	 2.8122843505 	 0.0610501500 	 0.2162609600
2.8107662201 	 2.8102598191 	 2.8112726212 	 0.0610761100 	 0.2162301000
2.8097534180 	 2.8092472553 	 2.8102595806 	 0.0611020600 	 0.2161992500
2.8087410927 	 2.8082349300 	 2.8092472553 	 0.0611279700 	 0.2161684500
2.8077287674 	 2.8072224856 	 2.8082350493 	 0.0611538500 	 0.2161376800
2.8067162037 	 2.8062102794 	 2.8072221280 	 0.0611797100 	 0.2161069400
2.8057043552 	 2.8051980734 	 2.8062106370 	 0.0612055200 	 0.2160762600
2.8046917915 	 2.8041856289 	 2.8051979542 	 0.0611867700 	 0.2161238900
2.8036794662 	 2.8031734228 	 2.8041855096 	 0.0611127800 	 0.2162685800
2.8026673794 	 2.8021613359 	 2.8031734229 	 0.0610281300 	 0.2164320000
2.8016552925 	 2.8011491299 	 2.8021614551 	 0.0609435900 	 0.2165952000
2.8006429672 	 2.8001370430 	 2.8011488914 	 0.0608591600 	 0.2167582000
2.7996311188 	 2.7991249562 	 2.8001372815 	 0.0607748800 	 0.2169209000
2.7986187935 	 2.7981128692 	 2.7991247178 	 0.0606906800 	 0.2170834400
2.7976069450 	 2.7971010208 	 2.7981128692 	 0.0606066400 	 0.2172456800
2.7965950966 	 2.7960891723 	 2.7971010209 	 0.0605227100 	 0.2174077000
2.7955832481 	 2.7950770855 	 2.7960894107 	 0.0604389100 	 0.2175694800
2.7945709229 	 2.7940649987 	 2.7950768471 	 0.0603439400 	 0.2177094500
2.7935590744 	 2.7930531502 	 2.7940649986 	 0.0602369600 	 0.2178257900
2.7925472260 	 2.7920415402 	 2.7930529118 	 0.0601291400 	 0.2179402600
2.7915358543 	 2.7910298109 	 2.7920418977 	 0.0600214600 	 0.2180545900
2.7905237675 	 2.7900179624 	 2.7910295725 	 0.0599138100 	 0.2181688900
2.7895121574 	 2.7890062332 	 2.7900180816 	 0.0598062900 	 0.2182830400
2.7885003090 	 2.7879946232 	 2.7890059948 	 0.0596988300 	 0.2183971300
2.7874889374 	 2.7869831324 	 2.7879947425 	 0.0595915100 	 0.2185110700
2.7864773273 	 2.7859714031 	 2.7869832515 	 0.0594842600 	 0.2186249400
2.7854654789 	 2.7849596739 	 2.7859712839 	 0.0593719700 	 0.2187432800
2.7844538689 	 2.7839481831 	 2.7849595547 	 0.0591318100 	 0.2189750800
2.7834424973 	 2.7829368114 	 2.7839481832 	 0.0587693200 	 0.2193154300
2.7824311256 	 2.7819253206 	 2.7829369306 	 0.0584071800 	 0.2196554500
2.7814195156 	 2.7809139490 	 2.7819250822 	 0.0580453200 	 0.2199952100
2.7804083824 	 2.7799026966 	 2.7809140682 	 0.0576839700 	 0.2203345000
2.7793970108 	 2.7788913250 	 2.7799026966 	 0.0573229000 	 0.2206735200
2.7783856392 	 2.7778799534 	 2.7788913250 	 0.0569621400 	 0.2210122400
2.7773742676 	 2.7768685818 	 2.7778799534 	 0.0566017700 	 0.2213506100
2.7763628960 	 2.7758574486 	 2.7768683434 	 0.0562417300 	 0.2216886600
2.7753520012 	 2.7748463154 	 2.7758576870 	 0.0558491200 	 0.2220202100
2.7743406296 	 2.7738351822 	 2.7748460770 	 0.0552387700 	 0.2223122200
2.7733297348 	 2.7728240490 	 2.7738354206 	 0.0544442200 	 0.2225707000
2.7723183632 	 2.7718127966 	 2.7728239298 	 0.0536491700 	 0.2228293500
2.7713072300 	 2.7708016634 	 2.7718127966 	 0.0528542800 	 0.2230879400
2.7702960968 	 2.7697906494 	 2.7708015442 	 0.0520592000 	 0.2233466000
2.7692852020 	 2.7687797547 	 2.7697906493 	 0.0512642600 	 0.2236052100
2.7682743073 	 2.7677688599 	 2.7687797547 	 0.0504692200 	 0.2238638600
2.7672634125 	 2.7667579651 	 2.7677688599 	 0.0496739900 	 0.2241225600
2.7662525177 	 2.7657470703 	 2.7667579651 	 0.0488786900 	 0.2243812900
2.7652416229 	 2.7647361755 	 2.7657470703 	 0.0481689000 	 0.2245832300
2.7642307281 	 2.7637254000 	 2.7647360562 	 0.0477872000 	 0.2245675100
2.7632200718 	 2.7627147436 	 2.7637254000 	 0.0476478000 	 0.2243911800
2.7622094154 	 2.7617039680 	 2.7627148627 	 0.0475084700 	 0.2242149300
2.7611985207 	 2.7606933117 	 2.7617037297 	 0.0473691600 	 0.2240387100
2.7601881027 	 2.7596827745 	 2.7606934308 	 0.0472299800 	 0.2238626500
2.7591774464 	 2.7586721182 	 2.7596827746 	 0.0470908100 	 0.2236866200
2.7581667900 	 2.7576615810 	 2.7586719990 	 0.0469517200 	 0.2235106600
2.7571563721 	 2.7566509247 	 2.7576618195 	 0.0468127000 	 0.2233348200
2.7561454773 	 2.7556402684 	 2.7566506862 	 0.0466736900 	 0.2231589800
2.7551350594 	 2.7546298504 	 2.7556402684 	 0.0466820700 	 0.2230894800
2.7541246414 	 2.7536194324 	 2.7546298503 	 0.0470915000 	 0.2233093700
2.7531142235 	 2.7526090145 	 2.7536194325 	 0.0477526000 	 0.2237110700
2.7521038055 	 2.7515988349 	 2.7526087760 	 0.0484110300 	 0.2241111400
2.7510938644 	 2.7505886555 	 2.7515990733 	 0.0490664400 	 0.2245093800
2.7500834465 	 2.7495782375 	 2.7505886555 	 0.0497194500 	 0.2249061700
2.7490730286 	 2.7485679388 	 2.7495781184 	 0.0503698300 	 0.2253013500
2.7480628490 	 2.7475577593 	 2.7485679387 	 0.0510173800 	 0.2256948100
2.7470526695 	 2.7465475798 	 2.7475577593 	 0.0516622900 	 0.2260866700
2.7460424900 	 2.7455374002 	 2.7465475798 	 0.0523045700 	 0.2264769300
2.7450323105 	 2.7445273400 	 2.7455372811 	 0.0529290500 	 0.2267007600
2.7440223694 	 2.7435173988 	 2.7445273400 	 0.0535192300 	 0.2265721400
2.7430124283 	 2.7425072193 	 2.7435176373 	 0.0540913600 	 0.2262568500
2.7420020103 	 2.7414970398 	 2.7425069808 	 0.0546630000 	 0.2259418400
2.7409920692 	 2.7404870986 	 2.7414970398 	 0.0552336100 	 0.2256273900
2.7399821281 	 2.7394772768 	 2.7404869794 	 0.0558034500 	 0.2253133700
2.7389724255 	 2.7384674549 	 2.7394773960 	 0.0563723700 	 0.2249998500
2.7379624844 	 2.7374576331 	 2.7384673357 	 0.0569406500 	 0.2246866800
2.7369527817 	 2.7364478112 	 2.7374577523 	 0.0575080600 	 0.2243740000
2.7359428406 	 2.7354381084 	 2.7364475727 	 0.0580748400 	 0.2240616600
2.7349333763 	 2.7344284058 	 2.7354383469 	 0.0585339900 	 0.2237904100
2.7339234352 	 2.7334184647 	 2.7344284058 	 0.0588047100 	 0.2235908400
2.7329134941 	 2.7324088812 	 2.7334181070 	 0.0589935600 	 0.2234225000
2.7319042683 	 2.7313994169 	 2.7324091197 	 0.0591820800 	 0.2232544600
2.7308945656 	 2.7303897143 	 2.7313994169 	 0.0593704800 	 0.2230865200
2.7298848629 	 2.7293801308 	 2.7303895950 	 0.0595586700 	 0.2229187700
2.7288753986 	 2.7283706665 	 2.7293801307 	 0.0597466200 	 0.2227512400
2.7278659344 	 2.7273610831 	 2.7283707858 	 0.0599343700 	 0.2225838800
2.7268562317 	 2.7263517380 	 2.7273607254 	 0.0601219700 	 0.2224166600
2.7258472443 	 2.7253425122 	 2.7263519765 	 0.0603092400 	 0.2222497300
2.7248377800 	 2.7243330479 	 2.7253425122 	 0.0604553600 	 0.2221552200
2.7238283157 	 2.7233237028 	 2.7243329286 	 0.0605393000 	 0.2221701200
2.7228190899 	 2.7223143577 	 2.7233238220 	 0.0606021000 	 0.2222220200
2.7218096256 	 2.7213050127 	 2.7223142385 	 0.0606648300 	 0.2222738600
2.7208003998 	 2.7202957868 	 2.7213050127 	 0.0607274500 	 0.2223256300
2.7197911739 	 2.7192866802 	 2.7202956676 	 0.0607900000 	 0.2223773200
2.7187821865 	 2.7182775736 	 2.7192867994 	 0.0608524500 	 0.2224289400
2.7177729607 	 2.7172684669 	 2.7182774544 	 0.0609148300 	 0.2224804900
2.7167639732 	 2.7162593603 	 2.7172685861 	 0.0609771100 	 0.2225319700
2.7157547474 	 2.7152503729 	 2.7162591219 	 0.0610393200 	 0.2225833900
2.7147459984 	 2.7142413854 	 2.7152506114 	 0.0609810600 	 0.2227393000
2.7137367725 	 2.7132323980 	 2.7142411470 	 0.0607630400 	 0.2230339000
2.7127280235 	 2.7122235298 	 2.7132325172 	 0.0605058000 	 0.2233623700
2.7117190361 	 2.7112145424 	 2.7122235298 	 0.0602488800 	 0.2236904400
2.7107100487 	 2.7102055549 	 2.7112145425 	 0.0599923300 	 0.2240180300
2.7097010612 	 2.7091968060 	 2.7102053165 	 0.0597361700 	 0.2243451400
2.7086925507 	 2.7081880570 	 2.7091970444 	 0.0594804800 	 0.2246716300
2.7076835632 	 2.7071793079 	 2.7081878185 	 0.0592250600 	 0.2249977900
2.7066750526 	 2.7061706781 	 2.7071794271 	 0.0589701100 	 0.2253233400
2.7056663036 	 2.7051619291 	 2.7061706781 	 0.0587154700 	 0.2256484900
2.7046575546 	 2.7041532993 	 2.7051618099 	 0.0584780800 	 0.2259775800
2.7036490440 	 2.7031447887 	 2.7041532993 	 0.0582611300 	 0.2263114100
2.7026405334 	 2.7021361589 	 2.7031449079 	 0.0580476500 	 0.2266456900
2.7016317844 	 2.7011275291 	 2.7021360397 	 0.0578343700 	 0.2269796400
2.7006232738 	 2.7001191377 	 2.7011274098 	 0.0576214000 	 0.2273131100
2.6996150017 	 2.6991107464 	 2.7001192570 	 0.0574087200 	 0.2276461400
2.6986064911 	 2.6981022358 	 2.6991107464 	 0.0571962600 	 0.2279788200
2.6975979805 	 2.6970939636 	 2.6981019974 	 0.0569840400 	 0.2283111200
2.6965899467 	 2.6960856914 	 2.6970942019 	 0.0567721600 	 0.2286429000
2.6955814362 	 2.6950771809 	 2.6960856915 	 0.0565604500 	 0.2289744000
2.6945729256 	 2.6940689087 	 2.6950769425 	 0.0561674200 	 0.2293118100
2.6935648918 	 2.6930607557 	 2.6940690279 	 0.0555785800 	 0.2296555400
2.6925566196 	 2.6920524835 	 2.6930607556 	 0.0549751800 	 0.2299995500
2.6915483475 	 2.6910443306 	 2.6920523644 	 0.0543723200 	 0.2303432400
2.6905403137 	 2.6900362969 	 2.6910443306 	 0.0537701600 	 0.2306865400
2.6895322800 	 2.6890282631 	 2.6900362969 	 0.0531685300 	 0.2310295400
2.6885242462 	 2.6880202293 	 2.6890282630 	 0.0525675100 	 0.2313721900
2.6875162125 	 2.6870121956 	 2.6880202294 	 0.0519670000 	 0.2317145400
2.6865081787 	 2.6860041619 	 2.6870121955 	 0.0513670300 	 0.2320566000
2.6855001450 	 2.6849962473 	 2.6860040427 	 0.0507684200 	 0.2323969900
2.6844923496 	 2.6839883327 	 2.6849963665 	 0.0503878100 	 0.2323772900
2.6834843159 	 2.6829804182 	 2.6839882136 	 0.0502235200 	 0.2319994100
2.6824765205 	 2.6819727421 	 2.6829802990 	 0.0500591900 	 0.2316214500
2.6814689636 	 2.6809649468 	 2.6819729804 	 0.0498948400 	 0.2312434400
2.6804609299 	 2.6799571515 	 2.6809647083 	 0.0497303600 	 0.2308651000
2.6794533730 	 2.6789494753 	 2.6799572707 	 0.0495658800 	 0.2304868100
2.6784455776 	 2.6779416799 	 2.6789494753 	 0.0494013100 	 0.2301082700
2.6774377823 	 2.6769340039 	 2.6779415607 	 0.0492366600 	 0.2297295800
2.6764302254 	 2.6759264470 	 2.6769340039 	 0.0490719900 	 0.2293508200
2.6754226685 	 2.6749188900 	 2.6759264470 	 0.0489288300 	 0.2289893200
2.6744151115 	 2.6739113330 	 2.6749188900 	 0.0490535400 	 0.2288436800
2.6734075546 	 2.6729038954 	 2.6739112138 	 0.0494242200 	 0.2288963800
2.6724002361 	 2.6718964576 	 2.6729040145 	 0.0497946000 	 0.2289490500
2.6713926792 	 2.6708890200 	 2.6718963384 	 0.0501648900 	 0.2290017000
2.6703853607 	 2.6698815822 	 2.6708891392 	 0.0505348800 	 0.2290543100
2.6693778038 	 2.6688742637 	 2.6698813439 	 0.0509047800 	 0.2291069100
2.6683707237 	 2.6678670645 	 2.6688743829 	 0.0512743100 	 0.2291594500
2.6673634052 	 2.6668597460 	 2.6678670645 	 0.0516437300 	 0.2292119800
2.6663560867 	 2.6658524274 	 2.6668597460 	 0.0520129600 	 0.2292644800
2.6653487682 	 2.6648452282 	 2.6658523082 	 0.0523672000 	 0.2293318800
2.6643416882 	 2.6638380289 	 2.6648453475 	 0.0526247600 	 0.2294961800
2.6633343697 	 2.6628308296 	 2.6638379098 	 0.0528004400 	 0.2297419300
2.6623272896 	 2.6618237496 	 2.6628308296 	 0.0529755500 	 0.2299868900
2.6613202095 	 2.6608166694 	 2.6618237496 	 0.0531501400 	 0.2302311200
2.6603131294 	 2.6598097086 	 2.6608165502 	 0.0533242100 	 0.2304746300
2.6593062878 	 2.6588028669 	 2.6598097087 	 0.0534977300 	 0.2307173500
2.6582994461 	 2.6577959061 	 2.6588029861 	 0.0536707200 	 0.2309593600
