# Wavelength (um) 	 Transit depth
0.2071894748 	 0.0144341499
0.2072324111 	 0.0144340672
0.2072753653 	 0.0144339743
0.2073183373 	 0.0144338886
0.2073613271 	 0.0144338001
0.2074043348 	 0.0144336864
0.2074473602 	 0.0144336118
0.2074904036 	 0.0144335122
0.2075334648 	 0.0144334332
0.2075765438 	 0.0144333532
0.2076196408 	 0.0144332525
0.2076627557 	 0.0144331728
0.2077058885 	 0.0144330595
0.2077490392 	 0.0144329832
0.2077922078 	 0.0144328979
0.2078353944 	 0.0144327912
0.2078785989 	 0.0144327086
0.2079218214 	 0.0144326230
0.2079650619 	 0.0144325194
0.2080083203 	 0.0144324486
0.2080515968 	 0.0144323501
0.2080948913 	 0.0144322574
0.2081382038 	 0.0144321716
0.2081815343 	 0.0144320851
0.2082248829 	 0.0144319756
0.2082682495 	 0.0144319030
0.2083116342 	 0.0144318128
0.2083550370 	 0.0144317305
0.2083984578 	 0.0144316306
0.2084418968 	 0.0144315395
0.2084853539 	 0.0144314403
0.2085288291 	 0.0144313470
0.2085723224 	 0.0144312715
0.2086158339 	 0.0144311775
0.2086593636 	 0.0144310864
0.2087029114 	 0.0144309808
0.2087464774 	 0.0144309077
0.2087900616 	 0.0144308243
0.2088336640 	 0.0144307066
0.2088772846 	 0.0144306289
0.2089209234 	 0.0144305546
0.2089645805 	 0.0144304540
0.2090082558 	 0.0144303555
0.2090519494 	 0.0144302917
0.2090956613 	 0.0144301797
0.2091393914 	 0.0144301112
0.2091831398 	 0.0144299860
0.2092269066 	 0.0144299290
0.2092706916 	 0.0144298056
0.2093144950 	 0.0144297333
0.2093583168 	 0.0144296509
0.2094021568 	 0.0144295669
0.2094460153 	 0.0144294472
0.2094898921 	 0.0144293548
0.2095337873 	 0.0144292922
0.2095777009 	 0.0144291690
0.2096216329 	 0.0144290985
0.2096655834 	 0.0144290145
0.2097095523 	 0.0144289326
0.2097535396 	 0.0144288281
0.2097975454 	 0.0144287370
0.2098415696 	 0.0144286448
0.2098856123 	 0.0144285415
0.2099296736 	 0.0144284844
0.2099737533 	 0.0144283650
0.2100178515 	 0.0144282830
0.2100619683 	 0.0144282027
0.2101061036 	 0.0144280953
0.2101502574 	 0.0144280004
0.2101944299 	 0.0144279179
0.2102386208 	 0.0144278368
0.2102828304 	 0.0144277535
0.2103270586 	 0.0144276425
0.2103713054 	 0.0144275474
0.2104155708 	 0.0144274782
0.2104598548 	 0.0144273631
0.2105041575 	 0.0144272819
0.2105484788 	 0.0144271767
0.2105928188 	 0.0144271036
0.2106371775 	 0.0144270276
0.2106815548 	 0.0144269407
0.2107259509 	 0.0144268209
0.2107703657 	 0.0144267347
0.2108147992 	 0.0144266491
0.2108592515 	 0.0144265800
0.2109037224 	 0.0144264539
0.2109482122 	 0.0144263822
0.2109927208 	 0.0144262691
0.2110372481 	 0.0144262026
0.2110817942 	 0.0144261042
0.2111263591 	 0.0144260252
0.2111709429 	 0.0144259234
0.2112155455 	 0.0144258266
0.2112601669 	 0.0144257227
0.2113048072 	 0.0144256587
0.2113494663 	 0.0144255607
0.2113941444 	 0.0144254535
0.2114388413 	 0.0144253655
0.2114835572 	 0.0144252966
0.2115282919 	 0.0144251752
0.2115730456 	 0.0144251125
0.2116178182 	 0.0144249936
0.2116626098 	 0.0144249157
0.2117074204 	 0.0144248385
0.2117522499 	 0.0144247401
0.2117970984 	 0.0144246443
0.2118419659 	 0.0144245769
0.2118868524 	 0.0144244868
0.2119317580 	 0.0144243593
0.2119766826 	 0.0144242864
0.2120216262 	 0.0144241959
0.2120665889 	 0.0144241161
0.2121115707 	 0.0144240139
0.2121565716 	 0.0144239192
0.2122015915 	 0.0144238234
0.2122466306 	 0.0144237416
0.2122916888 	 0.0144236527
0.2123367661 	 0.0144235605
0.2123818626 	 0.0144234591
0.2124269782 	 0.0144233725
0.2124721130 	 0.0144232935
0.2125172670 	 0.0144231825
0.2125624402 	 0.0144230982
0.2126076326 	 0.0144230038
0.2126528442 	 0.0144229184
0.2126980751 	 0.0144228176
0.2127433252 	 0.0144227387
0.2127885945 	 0.0144226287
0.2128338831 	 0.0144225677
0.2128791911 	 0.0144224447
0.2129245183 	 0.0144223635
0.2129698648 	 0.0144222793
0.2130152306 	 0.0144222054
0.2130606157 	 0.0144220740
0.2131060203 	 0.0144219869
0.2131514441 	 0.0144219231
0.2131968873 	 0.0144218218
0.2132423499 	 0.0144217387
0.2132878319 	 0.0144216304
